Name,Instagram URL,FoodPanda URL,Google Maps URL,Menu URL,Address,Contact Number,Tag Ambience,Tag Occasion,Tag Cuisine,Rating
Melbrew,https://www.instagram.com/heymelbrew/,"https://www.foodpanda.pk/restaurant/q4m8/melbrew-gulshan, https://www.foodpanda.pk/restaurant/tubf/melbrew-jauhar, https://www.foodpanda.pk/restaurant/mxmo/melbrew-tipu-sultan, https://www.foodpanda.pk/restaurant/vjwh/melbrew-askari-iv, https://www.foodpanda.pk/restaurant/wct0/melbrew-e-street, https://www.foodpanda.pk/restaurant/j95l/melbrew-north-nazimabad, https://www.foodpanda.pk/restaurant/n79z/melbrew-luckyone, https://www.foodpanda.pk/restaurant/bamc/melbrew-spar-dha-phase-01","https://maps.app.goo.gl/C8trfE84WihmPyr47, https://maps.app.goo.gl/R6A22u69rfKnyR2i8, https://maps.app.goo.gl/pqvBQA3xntdSEwqo9, https://maps.app.goo.gl/giBQtx8yjtEq6xkB8, https://maps.app.goo.gl/D7Nwfawb2KJUH3jNA, https://maps.app.goo.gl/7hPu8TEXa5pgHEHx6, https://maps.app.goo.gl/s5Gp96F6KBHNyWkg6",,"Shop No 12 & 13, Palm residency, Block 3-A Block 3 A Gulistan-e-Johar, Karachi , 2, Block 4 Gulshan-e-Iqbal, Karachi, Shop A-2, Ground Floor, plot 21-C lane 13, Bukhari Commercial, Ph. VI Defence Housing Authority, Karachi, 75500, W428+6PW, Askari 4, Karachi, Block 4 E St, Block 4 Clifton, Karachi, 75500, Shop 3, Plot# 42/7&8, Sumiya Elite, MCHS, Shaheed-e-Millat Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society Karachi, 75400, Area, Second floor, opposite to OnderLand, FoodCourt, Federal B Area Block 21 Gulshan-e-Iqbal, Karachi, 75400, 64, Block L North Nazimabad Town, Karachi, ","0330 5580099, 0335 8770099, 0335 2900099, 0332 1135986, 0330 5510099, 0331 9550099, 0330 5530099","modern, cozy, bright-lit","coffee-break, casual-meal","coffee-specialty, cafe",4.9
Mojo Brew,https://www.instagram.com/mojobrew/,https://www.foodpanda.pk/restaurant/au72/mojo-cafe,https://maps.app.goo.gl/zi8VGRXetavkFcDGA,,"R32F+F9F, Lane 7, D.H.A Phase 6 Nishat Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500",0339 6665566,"trendy, lively, energetic","coffee-break, hangout-with-friends","coffee-specialty, cafe",4.3
Costa Coffee,https://www.instagram.com/costacoffeepak/,"https://www.foodpanda.pk/restaurant/hcex/costa-coffee-clifton, https://www.foodpanda.pk/restaurant/xtas/costa-coffee-dha, https://www.foodpanda.pk/restaurant/jnxb/costa-coffee-f7","https://maps.app.goo.gl/sM5kKuLsi5awtptSA, https://maps.app.goo.gl/amSUMLSJj3AMUmKcA, https://maps.app.goo.gl/Z8TTRnWTnpDkWsHo7",,"6 Shahbaz Commercial, Phase Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, 75600, Pakistan, DC 9/7, near Underpass, Zone A - Block 7 Zone A Block 7 Clifton, Karachi, 75600, Pakistan, 1A Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan","02137225032, 02133390489, ","modern, polished, bright-lit","coffee-break, casual-meal","coffee-specialty, cafe",4.4
Shot Coffee,https://www.instagram.com/shotcoffee_pk/,"https://www.foodpanda.pk/restaurant/k27d/shot-coffee, https://www.foodpanda.pk/restaurant/lqo9/shot-coffee-tipu-sultan, ","https://maps.app.goo.gl/FwipC51BP5KcaHMF7, https://maps.app.goo.gl/XyDFjDWiQmaYat698, https://maps.app.goo.gl/dz8sgQgBM8j86FUKA",,"The North Walk Mall, Phase 2 Block C North Nazimabad Town, Karachi, Pakistan, 2nd Ave Service Rd, next to Bahria International Hospital, Gadap Town, Karachi, Pakistan, Plot 4, habitt city, main Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society Karachi, 74400, Pakistan","03390007468, 03390007468, 03390007468","minimalist, compact, quiet","coffee-break, quick-grab","coffee-specialty, cafe",4.8
Springs Cafe,https://www.instagram.com/springscafepk/,https://www.foodpanda.pk/restaurant/fw1y/springs-cafe,"https://maps.app.goo.gl/H1jtEefF6LjTWyAq9, https://maps.app.goo.gl/ZmEjrJhSsUXakHaK6, https://maps.app.goo.gl/F4GpLnjvjdHNsLCs5, ",,"V39H+WGR, Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan, 15-C, 13th Lane, Khayaban-e-Bukhari, Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan, Plot No D, Shop No 2, 3 and 4, 09, Block A North Nazimabad Town, Karachi, Pakistan","03317774652, 03317774651, 03331838373","airy, laid-back, bright-lit","coffee-break, casual-meal","coffee-specialty, cafe",4.7
Loop Coffee,https://www.instagram.com/drinkloop.co/,,"https://maps.app.goo.gl/tdtfUBuDA6RMuppHA, https://maps.app.goo.gl/J2oLZiCi4CnNgfH86",,"D.H.A Phase 6 Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, 75600, Pakistan, Ground Floor, 3C, 10 Zulfiqar Street 1, D.H.A. Phase 8 Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi, 75500, Pakistan","03071115667, 03071115667","industrial, trendy, energetic","coffee-break, casual-meal","coffee-specialty, cafe",4.4
Gloria Jean's Coffee,https://www.instagram.com/gloriajeanskarachi/,"https://www.foodpanda.pk/restaurant/v2az/gloria-jeans-v2az, https://www.foodpanda.pk/restaurant/h465/gloria-jeans-coffees-h465, https://www.foodpanda.pk/restaurant/hnal/hnal","https://maps.app.goo.gl/AAunMYXv2Bcbr5Yq6, https://maps.app.goo.gl/7tS62n63gc6diugk9, https://maps.app.goo.gl/gQ4nj58zpUWFmMEg6, https://maps.app.goo.gl/qz2YbhqLRJAPe9tr8, https://maps.app.goo.gl/Ljk6iW5CyQTTxxwVA",,"Dolmen Mall, Marine Promenade, Block 4 Clifton, Karachi, Pakistan, Shop no# 13, Com, 3 Bilawal Chowrangi, Block 6 Clifton, Karachi, 74600, Pakistan, V354+8Q6, Sindhi Muslim Cooperative Housing Society Block A Sindhi Muslim CHS (SMCHS), Karachi, Pakistan, Lucky One Mall, Rashid Minhas Rd, Federal B Area Block 21 Gulberg Town, Karachi, Pakistan, W528+JG2, Faisal Cantonment, Karachi, Pakistan","02135293912, 02138944129, 02134534176, 02137181016, 02134579977","polished, spacious, bright-lit","coffee-break, casual-meal","coffee-specialty, cafe",4.5
Espresso,https://www.instagram.com/espressopk/,"https://www.foodpanda.pk/restaurant/yjxm/espresso-tipu-sultan, https://www.foodpanda.pk/restaurant/wl7p/level-2-by-espresso-tipu-sultan, https://www.foodpanda.pk/restaurant/va7p/espresso-shahbaz, https://www.foodpanda.pk/restaurant/xrzm/espresso-dolmen-mall-clifton-vd","https://maps.app.goo.gl/GZaw4dTMLBu7vNs29, https://maps.app.goo.gl/G7nwWNfB16XYxLSr6, https://maps.app.goo.gl/WrNezjmf8GsqpXY2A, https://maps.app.goo.gl/7oqAUcnYD6uA8aVv8",4,"Main Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society Karachi, 74200, Pakistan, Ground Floor, 7-C Khayaban-e-Shahbaz, Main Shahbaz Commercial Area Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan, Ground Floor Dolmen City Mall, Block 4 Clifton, Karachi, Pakistan, 93 Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society P.E.C.H.S., Karachi, Pakistan","03482099235, 021111393377, 021111393377, 03482099235","minimalist, compact, modern","coffee-break, quick-grab","coffee-specialty, cafe",4.9
Luna Coffee,https://www.instagram.com/lunacoffee.pk/,"https://www.foodpanda.pk/restaurant/hj8m/luna-coffee-tipu-sultan, ","https://maps.app.goo.gl/oorRNd4MD8K8Ndxp7, https://maps.app.goo.gl/rcrjwDcia5fU7b2f8, ",2,"Building Plot No 5-C, ground floor, Khayaban-e-Shaheen, D.H.A. Phase 8 Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi, 75500, Pakistan, D43, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, 75350, Pakistan","03035862333, 03025862333","intimate, dim-lit, cozy","coffee-break, casual-meal","coffee-specialty, cafe",4.8
Neighborhood Cafe,https://www.instagram.com/nbhdcafe/?hl=en,?,https://maps.app.goo.gl/b1LyLUdSyw5ujTjh8,1,"9c Lane 13, D.H.A Phase 6 Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan","03111177883, ","cozy, warm-toned, laid-back","coffee-break, hangout-with-friends","coffee-specialty, cafe",4.2
